adm4_pcode,adm4_en,pct_area_flood_hazard_100yr_high,pct_area_flood_hazard_25yr_high,pct_area_flood_hazard_5yr_high,pct_area_landslide_hazard_high,pct_area_landslide_hazard_med,google_bldgs_count,google_bldgs_density,google_bldgs_pct_built_up_area,google_bldgs_count_lt100_sqm,pct_area_builtup,pct_area_tree_cover,pct_area_cropland,rwi_latest,rwi_trend,pop_first,pop_last,pop_cagr,hazard_exposure,pop_projected_2030,projected_growth_pct,risk_score,risk_tier
PH104305052,Kauswagan,13.2807,8.4241,5.9614,0.0,0.0,14457.0,0.0029226776326022,27.98397862416652,10554.0,73.53,27.44,0.65,0.7074141889833407,0.09825554744367948,31734.2421875,54886.5859375,0.027772289742942435,13.2807,72183.05528493995,31.51310844353783,0.2840724695785312,Tier 1: Monitor
PH104305054,Lumbia,6.7035,1.1624,0.7583,5.2046,33.0079,15561.0,0.0004025466125862,2.5414891042619305,13536.0,5.44,100.01,1.58,0.533253710215728,0.03516475944408687,12517.91015625,21548.40625,0.027529185463943007,11.908100000000001,28272.018535534662,31.20236460891237,0.28155417595164334,Tier 1: Monitor
PH104305059,Pagalungan,11.5094,0.0,0.0,3.2028,55.7017,1227.0,8.072085825385595e-05,0.3720717136143996,1146.0,0.15,100.63,0.52,0.41341882269469,0.04399024932130108,1807.631103515625,2842.431396484375,0.022890180019287776,14.7122,3564.3478804579695,25.39785075785779,0.27847569424167273,Tier 1: Monitor
PH104305044,Carmen,10.0906,6.5889,3.2988,0.7865,10.4001,22984.0,0.0029041864038392,22.28845840641548,18307.0,53.37,50.2,1.01,0.7085410458994562,0.10558323845529771,55528.640625,96229.328125,0.027873147578302282,10.8771,126678.42625381205,31.64222251376345,0.27426426571028417,Tier 1: Monitor
PH104305050,Indahag,4.1841,2.4281,1.6106,9.7266,30.2623,9870.0,0.0005216171438656,2.969916188450964,8611.0,5.54,100.5,2.24,0.5613538332339473,0.02827001515749694,9928.1943359375,16691.44140625,0.026316187022543236,13.910699999999999,21642.410419450287,29.661722392329935,0.27237195201884795,Tier 1: Monitor
PH104305049,Gusa,2.7576,1.6493,0.4477,2.383,21.5986,8722.0,0.0019035059921105,16.18355328841829,6747.0,39.83,66.85,0.01,0.6183293015946599,0.04783307518269897,23024.6953125,41014.390625,0.02928849536269862,5.1406,54740.334778421275,33.46616625105905,0.2719649996861288,Tier 1: Monitor
PH104305026,Barangay 32 (Pob.),0.0,0.0,0.0,0.0,0.0,294.0,0.0036729688789407,58.29318723018574,180.0,100.0,2.82,0.0,0.7483900653862258,0.16404592575138233,279.16912841796875,522.7238159179688,0.031858734728679394,0.0,715.2777832698953,36.83665474735975,0.26860765045419127,Tier 1: Monitor
PH104305073,Barangay 1 (Pob.),23.2007,20.4951,14.919,0.0,0.1155,209.0,0.0024046253420472,35.487682851852455,99.0,64.0,22.06,0.0,0.7533136761915312,0.22309131576025232,286.4013366699219,459.5102233886719,0.02391995479202258,23.2007,582.0432365780978,26.66600370407486,0.2664224436587992,Tier 1: Monitor
PH104305065,San Simon,13.7308,0.0,0.0,6.0809,28.8465,970.0,0.0001444012591479,0.8346853210356822,850.0,0.45,100.28,1.43,0.4650635078255246,0.0352731283757623,1065.7529296875,1574.385498046875,0.019700723110849028,19.811700000000002,1913.543562427845,21.542250281250496,0.25564710300204563,Tier 1: Monitor
PH104305010,Barangay 14 (Pob.),0.0,0.0,0.0,0.0,0.0,207.0,0.0045787426481292,51.18696891421985,123.0,100.0,1.13,0.0,0.7610552566813938,0.15171971546554452,467.1617736816406,821.6969604492188,0.028637183045921777,0.0,1089.7675489941332,32.62402095273191,0.2505754470169636,Tier 1: Monitor
PH104305080,Barangay 36 (Pob.),4.5536,0.1763,0.0,0.0,0.0,178.0,0.0031044684241476,41.26552790160641,124.0,100.0,14.16,0.0,0.7315937684604386,0.14531253946678158,279.5264892578125,490.25775146484375,0.028490003653270035,4.5536,649.2698237491343,32.434382079462786,0.25040927485088305,Tier 1: Monitor
PH104305024,Barangay 3 (Pob.),0.0,0.0,0.0,0.0,0.0,85.0,0.0030319492483953,50.46804832633009,34.0,100.0,0.59,0.0,0.7519402778617426,0.17948300069632928,175.79225158691406,323.54119873046875,0.030971104007280648,0.0,438.9292480224009,35.66409772378263,0.24760058613950242,Tier 1: Monitor
PH104305012,Barangay 16 (Pob.),0.0,0.0,0.0,0.0,0.0,69.0,0.0027683929481398,47.33698934276581,25.0,100.0,0.0,0.0,0.7608368831260943,0.1599159962811496,169.03262329101562,314.20623779296875,0.03148332977747348,0.0,428.3876461974123,36.339637687167105,0.24512873361317772,Tier 1: Monitor
PH104305019,Barangay 23 (Pob.),13.5026,12.2438,0.0,0.0,0.0,352.0,0.004342707586032,64.75937230302557,230.0,99.92,7.77,0.0,0.7258404879211752,0.13728830149383153,364.7024536132813,554.2211303710938,0.021144540447922244,13.5026,683.2116717881443,23.27420127967359,0.24216028462720515,Tier 1: Monitor
PH104305008,Barangay 12 (Pob.),0.0,0.0,0.0,0.0,0.0,70.0,0.002878148492333,47.48195542482175,39.0,100.0,2.09,0.0,0.7528744173720585,0.16785894267286205,100.20071411132812,183.4947052001953,0.030712720765901258,0.0,248.3132517816173,35.324477897443444,0.24210456355715074,Tier 1: Monitor
PH104305034,Barangay 8 (Pob.),0.0,0.0,0.0,0.0,0.0,87.0,0.0030035074714608,58.79177759152261,26.0,100.0,0.0,0.0,0.7486327160088186,0.1787247686236223,126.62020111083984,230.18023681640625,0.030334522715621537,0.0,310.3491421902493,34.82875266906016,0.24200405906972006,Tier 1: Monitor
PH104305007,Barangay 11 (Pob.),0.0,0.0,0.0,0.0,0.0,119.0,0.0035894619283162,50.838076247885446,49.0,100.0,4.61,0.0,0.743951755826106,0.13435822148699217,95.79031372070312,169.40985107421875,0.028918209365678127,0.0,225.29273807265741,32.98679896363068,0.2404490732547181,Tier 1: Monitor
PH104305035,Barangay 9 (Pob.),0.0,0.0,0.0,0.0,0.0,102.0,0.0032820131770116,46.645297912898286,47.0,100.0,2.53,0.0,0.7524073476169005,0.17367097168459567,107.2371826171875,189.5200042724609,0.028881795480031336,0.0,251.94740438159891,32.93974182239363,0.23210099500805392,Tier 1: Monitor
PH104305032,Barangay 40 (Pob.),0.0,0.0,0.0,0.0,0.0,335.0,0.0021230616621114,38.12437146669126,188.0,100.0,26.3,0.0,0.7561819792249824,0.16861717474556903,533.8858032226562,986.2799682617188,0.03116364261527682,0.0,1340.5287496807744,35.91766971029593,0.23184108543248894,Tier 1: Monitor
PH104305028,Barangay 34 (Pob.),0.0,0.0,0.0,0.0,0.0,78.0,0.0025761813001369,51.79866308169778,43.0,100.0,0.0,0.0,0.7302220924000897,0.15141942896001537,90.40737915039062,160.82461547851562,0.029218140119525282,0.0,214.499775903042,33.37496580658499,0.22908466437172967,Tier 1: Monitor
PH104305081,Barangay 37 (Pob.),1.6567,0.0,0.0,0.0,0.0,81.0,0.0026733762018342,50.08810191892504,41.0,100.0,1.08,0.0,0.7276379470914672,0.14793543015702215,71.84441375732422,124.95462036132812,0.028058825528813447,1.6567,164.79042598018958,31.880218197349784,0.2275325402996568,Tier 1: Monitor
PH104305037,Bayabas,0.2553,0.005,0.0,0.0,0.0,5454.0,0.0027201490573134,17.69292058606031,4613.0,37.93,40.85,1.72,0.6595293355778045,0.10305807932878175,7702.42724609375,12939.052734375,0.02627498642823145,0.2553,16770.264869132072,29.609680193811606,0.225429410854592,Tier 1: Monitor
PH104305015,Barangay 19 (Pob.),0.0,0.0,0.0,0.0,0.0,95.0,0.0037929398793224,49.99305049518995,50.0,100.0,1.02,0.0,0.76879934888013,0.15197304988943705,367.9761657714844,634.408447265625,0.027607968625793733,0.0,832.9972941296784,31.302995368361607,0.2243922478736868,Tier 1: Monitor
PH104305078,Barangay 31 (Pob.),9.6297,4.3832,1.1081,0.0,0.0,403.0,0.0014826758765897,43.505591371590285,229.0,100.0,6.09,0.03,0.7287639562079079,0.12655308459641834,2035.958740234375,3426.357421875,0.02636819240787247,9.6297,4444.925749010723,29.72743942686322,0.22323149134307374,Tier 1: Monitor
PH104305075,Barangay 20 (Pob.),0.0,0.0,0.0,0.0,0.0,67.0,0.0029771559457172,50.24430602597485,30.0,100.0,0.0,0.0,0.7601817624601953,0.1845048387279643,91.66336822509766,159.72573852539062,0.028155858885695606,0.0,210.84555584416168,32.00474625487166,0.21744381632723128,Tier 1: Monitor
PH104305031,Barangay 4 (Pob.),0.0,0.0,0.0,0.0,0.0,75.0,0.0026894046138237,56.653804216336255,26.0,100.0,0.0,0.0,0.7533136761915312,0.22309131576025232,65.995361328125,115.4910125732422,0.0283755412815776,0.0,152.77967368296905,32.28706743399543,0.2163629562409544,Tier 1: Monitor
PH104305061,Patag,0.7386,0.4551,0.1645,0.0331,8.1618,6796.0,0.0023192293479697,18.08922674223352,5092.0,33.54,70.73,0.02,0.7082124693672045,0.09833462517641955,9875.81640625,16568.5234375,0.026208340214834758,0.7717,21460.46885036588,29.52553636610613,0.20552694784614395,Tier 1: Monitor
PH104305030,Barangay 39 (Pob.),0.0,0.0,0.0,0.0,0.0,26.0,0.0011049176898568,76.44964593206758,8.0,100.0,0.0,0.0,0.7505668795319538,0.13587468563240623,14.618343353271484,25.857479095458984,0.028926615088495478,0.0,34.3898430855537,32.99766368792365,0.19390067282067683,Tier 1: Monitor
PH104305043,Canito-an,18.3355,11.3409,9.1372,1.4545,18.3423,11696.0,0.0012396859289807,9.89582843974857,9111.0,24.63,90.63,1.21,0.6590256649736428,0.06844512004054948,7295.0908203125,10131.83984375,0.016559681064291176,19.79,11940.351803149268,17.849788264417544,0.18871402094304404,Tier 1: Monitor
PH104305077,Barangay 29 (Pob.),0.0,0.0,0.0,0.0,0.0,387.0,0.0020336155718915,38.52070769748329,214.0,100.0,8.39,0.0,0.7553101990681043,0.17340757469122958,1929.5054931640625,3267.208984375,0.02668341089358961,0.0,4251.501751506959,30.126409783984155,0.18789647122173622,Tier 1: Monitor
PH104305036,Barangay 5 (Pob.),0.0,0.0,0.0,0.0,0.0,53.0,0.0019998021392832,35.7408434183556,18.0,100.0,5.04,0.0,0.7486327160088186,0.1787247686236223,89.34806060791016,150.01901245117188,0.026249736471461116,0.0,194.3913287244867,29.577795206295665,0.18511706280523682,Tier 1: Monitor
